Iter:66, max:898.1264038085938, mean:645.001220703125, min:313.702880859375, std:81.97832489013672
Iter:67, max:975.0079956054688, mean:641.7074584960938, min:-78.66313171386719, std:91.64472198486328
Iter:68, max:921.9124145507812, mean:646.410400390625, min:-77.85908508300781, std:99.95982360839844
Iter:69, max:994.0176391601562, mean:650.0810546875, min:32.71438980102539, std:99.6043701171875
Iter:70, max:919.0310668945312, mean:647.307861328125, min:-47.19443893432617, std:104.5132827758789
Iter:71, max:1044.318359375, mean:654.20263671875, min:-54.113643646240234, std:114.08061218261719
Iter:72, max:978.51123046875, mean:666.1500244140625, min:-116.76024627685547, std:120.66158294677734
Iter:73, max:974.1177368164062, mean:681.254150390625, min:-60.13124084472656, std:108.69310760498047
Iter:74, max:1008.8974609375, mean:693.4642333984375, min:-121.20291900634766, std:122.23579406738281
Iter:75, max:999.1476440429688, mean:701.9949951171875, min:-120.44762420654297, std:128.19398498535156
Iter:76, max:1005.3362426757812, mean:729.37841796875, min:-77.86360168457031, std:121.56480407714844
Iter:77, max:1106.56884765625, mean:747.9331665039062, min:-88.46043395996094, std:136.52964782714844
Iter:78, max:1114.2467041015625, mean:775.4173583984375, min:-158.4926300048828, std:145.64364624023438
Iter:79, max:1100.12841796875, mean:792.8890991210938, min:-193.4006805419922, std:141.03131103515625
Iter:80, max:1127.35888671875, mean:814.6983642578125, min:-127.16112518310547, std:145.4604949951172
Iter:81, max:1140.8050537109375, mean:837.41943359375, min:-162.8284149169922, std:140.83865356445312
Iter:82, max:1108.8734130859375, mean:845.014892578125, min:-95.20076751708984, std:139.57139587402344
Iter:83, max:1225.58251953125, mean:859.3170166015625, min:-150.23220825195312, std:137.57847595214844
Iter:84, max:1172.3663330078125, mean:874.9804077148438, min:-115.7246322631836, std:139.57171630859375
Iter:85, max:1227.481689453125, mean:886.1842041015625, min:-147.08531188964844, std:128.39181518554688
Iter:86, max:1213.385986328125, mean:898.1373901367188, min:59.91475296020508, std:118.94046020507812
Iter:87, max:1296.201904296875, mean:902.902587890625, min:49.12546920776367, std:117.76351928710938
Iter:88, max:1279.5721435546875, mean:918.3004760742188, min:-431.8663024902344, std:128.73316955566406
Iter:89, max:1665.390380859375, mean:930.5054931640625, min:57.18240737915039, std:124.81155395507812
Iter:90, max:1411.2957763671875, mean:938.685302734375, min:-77.12853240966797, std:130.13839721679688
Iter:91, max:1407.6129150390625, mean:957.769775390625, min:568.5740356445312, std:113.22765350341797
Iter:92, max:1883.1976318359375, mean:967.1232299804688, min:-21.039316177368164, std:138.97744750976562
Iter:93, max:1545.1702880859375, mean:1001.570068359375, min:217.46713256835938, std:140.41717529296875
Iter:94, max:1537.7459716796875, mean:1007.16259765625, min:-26.668663024902344, std:143.08538818359375
Iter:95, max:1554.919677734375, mean:1043.2891845703125, min:-119.23519897460938, std:148.15084838867188
Iter:96, max:1745.36376953125, mean:1076.64208984375, min:253.85548400878906, std:153.2890167236328
Iter:97, max:1663.192626953125, mean:1081.652587890625, min:-276.4744567871094, std:165.4661407470703
Iter:98, max:1698.64892578125, mean:1112.67919921875, min:-350.4147033691406, std:172.6992950439453
Iter:99, max:1675.38525390625, mean:1126.209228515625, min:450.63671875, std:180.10488891601562
Iter:100, max:1925.005859375, mean:1145.97216796875, min:-47.82546615600586, std:188.02182006835938
Iter:101, max:1898.035888671875, mean:1171.73681640625, min:-623.1242065429688, std:196.556396484375
Iter:102, max:1754.98291015625, mean:1205.120849609375, min:557.124267578125, std:179.433837890625
Iter:103, max:1815.1981201171875, mean:1233.2109375, min:601.4574584960938, std:186.51492309570312
Iter:104, max:1863.615234375, mean:1257.543701171875, min:51.70391082763672, std:173.7865447998047
Iter:105, max:1778.4752197265625, mean:1277.709716796875, min:680.9815673828125, std:175.118408203125
Iter:106, max:1839.6461181640625, mean:1311.451416015625, min:723.0883178710938, std:170.66098022460938
Iter:107, max:1913.5013427734375, mean:1348.2447509765625, min:-486.1882629394531, std:176.812744140625
Iter:108, max:1998.939697265625, mean:1364.913330078125, min:857.004638671875, std:166.19773864746094
Iter:109, max:2054.24267578125, mean:1380.5625, min:930.4129638671875, std:162.2099151611328
Iter:110, max:1894.94580078125, mean:1417.7344970703125, min:915.6437377929688, std:159.55284118652344
Iter:111, max:1978.806884765625, mean:1430.9102783203125, min:468.81390380859375, std:166.32667541503906
Iter:112, max:2001.3092041015625, mean:1440.1783447265625, min:832.6437377929688, std:167.75332641601562
Iter:113, max:1991.489013671875, mean:1453.4000244140625, min:785.1370849609375, std:167.72628784179688
Iter:114, max:2044.4512939453125, mean:1472.7635498046875, min:958.076904296875, std:171.82579040527344
Iter:115, max:2192.81787109375, mean:1485.310791015625, min:819.8654174804688, std:186.5846710205078
Iter:116, max:2101.165771484375, mean:1514.0628662109375, min:859.3624877929688, std:188.11766052246094
Iter:117, max:2187.72021484375, mean:1508.830810546875, min:888.2006225585938, std:192.6233673095703
Iter:118, max:2183.749267578125, mean:1533.726806640625, min:912.4309692382812, std:187.38421630859375
Iter:119, max:2166.7529296875, mean:1528.227294921875, min:753.0233764648438, std:199.8376007080078
Iter:120, max:2195.2109375, mean:1552.315673828125, min:894.1273803710938, std:200.4551544189453
Iter:121, max:2289.810302734375, mean:1568.3870849609375, min:994.2844848632812, std:205.95480346679688
Iter:122, max:2407.599853515625, mean:1582.39990234375, min:858.8963623046875, std:214.5113067626953
Iter:123, max:2236.498046875, mean:1577.8670654296875, min:875.7811889648438, std:207.36532592773438
Iter:124, max:2278.732177734375, mean:1598.068603515625, min:849.1151123046875, std:222.23118591308594
Iter:125, max:2518.665283203125, mean:1607.3919677734375, min:627.8645629882812, std:230.8933868408203
Iter:126, max:2265.838623046875, mean:1597.752685546875, min:751.7738037109375, std:231.6952667236328
Iter:127, max:2452.2548828125, mean:1619.39990234375, min:856.4298095703125, std:230.49757385253906
Iter:128, max:2429.653076171875, mean:1657.009521484375, min:911.514404296875, std:229.6044158935547
Iter:129, max:2450.6533203125, mean:1668.2745361328125, min:889.3719482421875, std:240.49085998535156
Iter:130, max:2431.979248046875, mean:1697.15869140625, min:985.7305297851562, std:239.6528778076172
Iter:131, max:2452.001708984375, mean:1715.58740234375, min:985.501220703125, std:233.370849609375
Iter:132, max:2937.6015625, mean:1749.529296875, min:1046.2275390625, std:241.66236877441406
Iter:133, max:2871.30126953125, mean:1794.7542724609375, min:1013.4207763671875, std:250.9425811767578
Iter:134, max:2907.734375, mean:1836.1986083984375, min:1133.46435546875, std:246.7696990966797
Iter:135, max:2696.66796875, mean:1850.8599853515625, min:1103.027099609375, std:248.3261260986328
Iter:136, max:3328.98876953125, mean:1929.554443359375, min:1120.36767578125, std:272.0252990722656
Iter:137, max:3358.949462890625, mean:1977.2900390625, min:1275.18701171875, std:278.6566467285156
Iter:138, max:3241.36376953125, mean:2026.4970703125, min:1253.58740234375, std:283.34674072265625
Iter:139, max:3868.015869140625, mean:2117.531494140625, min:1280.2161865234375, std:309.3183898925781
Iter:140, max:3435.121337890625, mean:2174.02392578125, min:1226.3250732421875, std:309.81524658203125
Iter:141, max:3823.29736328125, mean:2256.055419921875, min:1208.3741455078125, std:354.7062072753906
Iter:142, max:4209.94921875, mean:2337.77587890625, min:1181.863037109375, std:384.7326354980469
Iter:143, max:3898.232421875, mean:2427.9892578125, min:1154.0814208984375, std:405.74249267578125
Iter:144, max:4133.40478515625, mean:2494.49853515625, min:1281.806396484375, std:456.5859069824219
Iter:145, max:4270.54443359375, mean:2582.551513671875, min:1114.3206787109375, std:485.054931640625
Iter:146, max:4403.69140625, mean:2619.34521484375, min:1023.6243286132812, std:568.0322875976562
Iter:147, max:4271.09423828125, mean:2596.0419921875, min:1020.718994140625, std:595.8892211914062
Iter:148, max:4772.1513671875, mean:2627.55322265625, min:970.11279296875, std:691.4281616210938
Iter:149, max:4659.30029296875, mean:2574.67431640625, min:920.90673828125, std:708.7392578125
Iter:150, max:4372.07373046875, mean:2543.17919921875, min:859.3603515625, std:723.0797119140625
Iter:151, max:4560.57080078125, mean:2536.9267578125, min:949.6104736328125, std:768.2551879882812
Iter:152, max:4557.53662109375, mean:2575.78564453125, min:884.8667602539062, std:758.4790649414062
Iter:153, max:4608.1123046875, mean:2551.5654296875, min:952.34326171875, std:713.1289672851562
Iter:154, max:4512.046875, mean:2577.23681640625, min:1022.643310546875, std:723.8409423828125
Iter:155, max:4344.44091796875, mean:2663.85205078125, min:1120.900634765625, std:680.4749755859375
Iter:156, max:4339.0185546875, mean:2671.328125, min:991.5623779296875, std:655.3020629882812
Iter:157, max:4660.04833984375, mean:2699.276123046875, min:981.1119995117188, std:627.7918701171875
Iter:158, max:4614.525390625, mean:2711.98193359375, min:1207.1856689453125, std:551.4116821289062
Iter:159, max:4419.744140625, mean:2711.9443359375, min:1121.41162109375, std:544.5980834960938
Iter:160, max:4679.51416015625, mean:2733.28271484375, min:1136.3843994140625, std:532.8922729492188
Iter:161, max:4713.93603515625, mean:2764.234130859375, min:1372.39794921875, std:497.48284912109375
Iter:162, max:4350.46875, mean:2766.127685546875, min:1410.551513671875, std:542.7025146484375
Iter:163, max:4336.19970703125, mean:2775.811767578125, min:1390.3363037109375, std:508.3199768066406
Iter:164, max:4504.1962890625, mean:2854.32421875, min:1081.50634765625, std:529.148193359375
Iter:165, max:4340.865234375, mean:2867.7578125, min:1444.394287109375, std:523.04736328125
Iter:166, max:4453.36962890625, mean:2955.26708984375, min:1254.076416015625, std:516.3423461914062
Iter:167, max:4712.91064453125, mean:3040.35009765625, min:1264.3707275390625, std:521.2250366210938
Iter:168, max:4567.12353515625, mean:3103.3623046875, min:1628.648681640625, std:525.040771484375
Iter:169, max:4709.22021484375, mean:3180.912841796875, min:1400.6671142578125, std:550.8836669921875
Iter:170, max:4797.056640625, mean:3286.290283203125, min:1367.8546142578125, std:586.7733764648438
Iter:171, max:4655.02197265625, mean:3268.90673828125, min:786.267578125, std:614.4073486328125
Iter:172, max:5037.52685546875, mean:3409.3251953125, min:1433.76513671875, std:655.3860473632812
Iter:173, max:5025.89306640625, mean:3345.089599609375, min:1324.450439453125, std:683.2842407226562
Iter:174, max:5005.68115234375, mean:3464.111328125, min:-824.6141967773438, std:727.7632446289062
Iter:175, max:5226.92138671875, mean:3526.918212890625, min:703.0978393554688, std:783.6942749023438
Iter:176, max:5108.68359375, mean:3571.9892578125, min:370.0747985839844, std:787.7625122070312
Iter:177, max:5223.6376953125, mean:3738.355224609375, min:1464.493896484375, std:743.1884155273438
Iter:178, max:5184.61865234375, mean:3811.03125, min:-900.8950805664062, std:806.8444213867188
Iter:179, max:5345.9091796875, mean:3937.09033203125, min:1334.701171875, std:749.237548828125
Iter:180, max:5415.45361328125, mean:4068.5419921875, min:1386.2642822265625, std:726.2857666015625
Iter:181, max:5444.00634765625, mean:4202.69287109375, min:1418.333740234375, std:621.7945556640625
Iter:182, max:5415.0537109375, mean:4320.7080078125, min:687.8169555664062, std:595.9896240234375
Iter:183, max:5445.16455078125, mean:4421.19189453125, min:1349.9200439453125, std:575.7478637695312
Iter:184, max:5527.703125, mean:4475.2841796875, min:-41.96104431152344, std:620.92431640625
Iter:185, max:5678.88916015625, mean:4568.22265625, min:1288.107177734375, std:544.9281616210938
Iter:186, max:5681.23828125, mean:4553.20703125, min:-827.7986450195312, std:581.8041381835938
Iter:187, max:5685.513671875, mean:4578.701171875, min:1161.07666015625, std:609.2684326171875
Iter:188, max:5713.12109375, mean:4632.23046875, min:-151.94554138183594, std:650.575439453125
Iter:189, max:5718.75439453125, mean:4626.8095703125, min:1084.364013671875, std:676.6248168945312
Iter:190, max:5707.70068359375, mean:4571.4677734375, min:908.8623046875, std:759.5263061523438
Iter:191, max:5733.4794921875, mean:4554.9599609375, min:675.9347534179688, std:836.5446166992188
Iter:192, max:5824.892578125, mean:4570.86865234375, min:-91.8980712890625, std:857.4909057617188
Iter:193, max:5789.51220703125, mean:4515.9541015625, min:-1003.5737915039062, std:991.8119506835938
Iter:194, max:5736.32666015625, mean:4403.22607421875, min:-1145.35595703125, std:1024.077392578125
Iter:195, max:5802.8798828125, mean:4438.705078125, min:-968.7706909179688, std:1049.225341796875
Iter:196, max:5819.5048828125, mean:4531.896484375, min:701.4110717773438, std:1011.2816772460938
Iter:197, max:5884.2958984375, mean:4563.02294921875, min:-1125.180908203125, std:992.5802612304688
Iter:198, max:5840.07568359375, mean:4583.478515625, min:-987.8463745117188, std:981.5955810546875
Iter:199, max:5977.15283203125, mean:4650.064453125, min:-833.5162353515625, std:1005.6065673828125
Iter:200, max:5839.28173828125, mean:4750.24169921875, min:-1277.690185546875, std:917.4972534179688
Iter:201, max:5868.333984375, mean:4815.61181640625, min:-997.4703369140625, std:843.3831787109375
Iter:202, max:5890.65771484375, mean:4868.36328125, min:-62.20359802246094, std:704.5311279296875
Iter:203, max:5861.90283203125, mean:4931.69140625, min:-1515.42626953125, std:680.9586181640625
Iter:204, max:5874.3564453125, mean:4983.9765625, min:-768.1033935546875, std:620.65771484375
Iter:205, max:5875.62890625, mean:4923.119140625, min:-1196.56884765625, std:742.9593505859375
Iter:206, max:5904.9052734375, mean:4956.87451171875, min:-883.8178100585938, std:634.1671752929688
Iter:207, max:5937.94580078125, mean:5064.4208984375, min:-1318.46240234375, std:539.6612548828125
Iter:208, max:5924.48828125, mean:5017.2236328125, min:-961.51416015625, std:686.9751586914062
Iter:209, max:5954.03857421875, mean:5016.66943359375, min:-1171.8172607421875, std:654.372314453125
Iter:210, max:5984.94921875, mean:4985.59765625, min:-1374.4671630859375, std:731.9597778320312
Iter:211, max:5932.328125, mean:5029.416015625, min:-1424.9583740234375, std:707.47607421875
Iter:212, max:5996.99365234375, mean:5002.39013671875, min:-1124.3564453125, std:831.0629272460938
Iter:213, max:6001.55908203125, mean:5010.35546875, min:-1535.0595703125, std:858.7932739257812
Iter:214, max:6090.22216796875, mean:5040.048828125, min:-1138.2403564453125, std:829.5709228515625
Iter:215, max:6097.02197265625, mean:4985.89453125, min:-1057.044677734375, std:903.0530395507812
Iter:216, max:6001.05615234375, mean:4927.083984375, min:-1195.94580078125, std:1035.765380859375
Iter:217, max:6078.32421875, mean:4863.927734375, min:-951.634765625, std:1085.363525390625
Iter:218, max:6052.44384765625, mean:4837.1044921875, min:-1339.6209716796875, std:1105.2674560546875
Iter:219, max:6042.2890625, mean:4822.50634765625, min:-1188.5604248046875, std:1158.3001708984375
Iter:220, max:6238.6748046875, mean:4921.2197265625, min:-1044.734130859375, std:1086.2659912109375
Iter:221, max:6165.5048828125, mean:4833.37939453125, min:-1101.4072265625, std:1163.4898681640625
Iter:222, max:6117.54736328125, mean:4882.73046875, min:-1348.0784912109375, std:1109.737060546875
Iter:223, max:6171.45556640625, mean:4846.4296875, min:-1449.857177734375, std:1185.910400390625
Iter:224, max:6083.2470703125, mean:4874.47607421875, min:-1218.695068359375, std:1148.1568603515625
Iter:225, max:6177.384765625, mean:4860.705078125, min:-1245.2066650390625, std:1181.9739990234375
Iter:226, max:6083.33056640625, mean:4876.87646484375, min:-1027.591552734375, std:1162.87255859375
Iter:227, max:6085.859375, mean:4880.97412109375, min:-1638.7735595703125, std:1206.2532958984375
Iter:228, max:6135.681640625, mean:4908.72607421875, min:-1387.0638427734375, std:1043.304931640625
Iter:229, max:6145.87841796875, mean:4956.06201171875, min:-1154.7633056640625, std:993.0963745117188
Iter:230, max:6093.86279296875, mean:4923.5068359375, min:-900.312744140625, std:1028.4600830078125
Iter:231, max:6111.67333984375, mean:4863.7294921875, min:-1460.1871337890625, std:1059.8922119140625
Iter:232, max:6123.41552734375, mean:4890.9248046875, min:-1292.4212646484375, std:998.0929565429688
Iter:233, max:6127.0419921875, mean:4915.25390625, min:-1221.892578125, std:1022.0156860351562
Iter:234, max:6146.06201171875, mean:4953.58251953125, min:-1564.8687744140625, std:961.00634765625
Iter:235, max:6180.47998046875, mean:5020.294921875, min:-1269.0018310546875, std:894.7271728515625
Iter:236, max:6116.75634765625, mean:5080.3818359375, min:-1091.474853515625, std:841.010986328125
Iter:237, max:6155.47802734375, mean:5136.9853515625, min:-1361.7086181640625, std:792.2159423828125
Iter:238, max:6200.91748046875, mean:5136.8896484375, min:-1594.7425537109375, std:862.9156494140625
Iter:239, max:6131.3046875, mean:5128.19921875, min:-96.0942611694336, std:824.7506103515625
Iter:240, max:6137.24560546875, mean:5099.53466796875, min:-983.8915405273438, std:857.6227416992188
Iter:241, max:6137.29833984375, mean:5132.9541015625, min:-1194.74658203125, std:832.0751953125
Iter:242, max:6188.44970703125, mean:5049.330078125, min:-1472.0628662109375, std:941.3272094726562
Iter:243, max:6347.67919921875, mean:5090.326171875, min:798.1105346679688, std:861.1369018554688
Iter:244, max:6142.80126953125, mean:5039.1083984375, min:326.3836364746094, std:877.3999633789062
Iter:245, max:6131.97705078125, mean:5081.27392578125, min:-1408.250244140625, std:871.164306640625
Iter:246, max:6157.70947265625, mean:5039.64990234375, min:367.1109924316406, std:901.9796142578125
Iter:247, max:6125.5810546875, mean:5155.56640625, min:793.9207153320312, std:794.0670166015625
Iter:248, max:6173.3232421875, mean:5132.5048828125, min:-323.63360595703125, std:823.8107299804688
Iter:249, max:6159.25830078125, mean:5196.8125, min:1099.2042236328125, std:712.0375366210938
Iter:250, max:6145.65869140625, mean:5325.626953125, min:1155.874267578125, std:590.3213500976562
Iter:251, max:6230.845703125, mean:5284.736328125, min:-1051.561279296875, std:693.7715454101562
Iter:252, max:6212.93896484375, mean:5327.6455078125, min:-939.5391235351562, std:642.3831787109375
Iter:253, max:6151.79931640625, mean:5326.4248046875, min:-595.0437622070312, std:646.8075561523438
Iter:254, max:6275.56103515625, mean:5319.8515625, min:1488.934326171875, std:597.8923950195312
Iter:255, max:6179.287109375, mean:5331.0791015625, min:611.7625122070312, std:612.5650634765625
Iter:256, max:6214.80517578125, mean:5276.3525390625, min:-1083.8731689453125, std:752.2807006835938
Iter:257, max:6234.4638671875, mean:5334.25244140625, min:1281.400146484375, std:656.4408569335938
Iter:258, max:6245.57861328125, mean:5225.2392578125, min:-786.513427734375, std:819.919189453125
Iter:259, max:6316.10546875, mean:5224.81640625, min:-288.5294494628906, std:834.5703735351562
