Iter:0, max:1003.6309814453125, mean:993.8692626953125, min:971.80712890625, std:4.570870399475098
Iter:1, max:999.4230346679688, mean:989.1076049804688, min:968.1326904296875, std:4.766147613525391
Iter:2, max:1004.3573608398438, mean:993.7423095703125, min:975.2346801757812, std:4.5676751136779785
Iter:3, max:1005.9049682617188, mean:994.2566528320312, min:968.54248046875, std:4.939065933227539
Iter:4, max:1003.157958984375, mean:992.7142333984375, min:966.3021240234375, std:5.010553359985352
Iter:5, max:1004.2802124023438, mean:992.782958984375, min:969.2858276367188, std:5.269390106201172
Iter:6, max:1004.9779052734375, mean:992.86376953125, min:971.7540283203125, std:5.18449068069458
Iter:7, max:1005.345947265625, mean:993.9736328125, min:969.5464477539062, std:5.030094146728516
Iter:8, max:1002.9500732421875, mean:991.6912231445312, min:963.7933959960938, std:5.305015563964844
Iter:9, max:1004.730712890625, mean:992.4407958984375, min:973.8138427734375, std:5.342569828033447
